R-PEAK INDEX, TIME, AMPLITUDE
158783,1587.83,113
158865,1588.65,119
158951,1589.51,97
159034,1590.34,125
159064,1590.64,52
159118,1591.18,139
159147,1591.47,50
159203,1592.03,121
159232,1592.32,53
159286,1592.86,68
159371,1593.71,118
159456,1594.56,107
159540,1595.4,129
159570,1595.7,55
159624,1596.24,130
159710,1597.1,126
159739,1597.39,51
159796,1597.96,90
159825,1598.25,54
159879,1598.79,128
159963,1599.63,121
160047,1600.47,109
160077,1600.77,56
160129,1601.29,72
160211,1602.11,115
160293,1602.93,150
160323,1603.23,58
160372,1603.72,122
160402,1604.02,55
160450,1604.5,141
160530,1605.3,128
160559,1605.59,54
160608,1606.08,138
160637,1606.37,52
160685,1606.85,139
160714,1607.14,52
160761,1607.61,131
160838,1608.38,142
160868,1608.68,55
160915,1609.15,117
160943,1609.43,60
160990,1609.9,134
161067,1610.67,102
161144,1611.44,117
161174,1611.74,52
161221,1612.21,130
161300,1613.0,158
161380,1613.8,96
161461,1614.61,97
161489,1614.89,53
161541,1615.41,146
161623,1616.23,105
161706,1617.06,130
161788,1617.88,130
161870,1618.7,154
161952,1619.52,112
162034,1620.34,100
162116,1621.16,122
162198,1621.98,136
162281,1622.81,136
162362,1623.62,141
162445,1624.45,100
162528,1625.28,129
162607,1626.07,103
162686,1626.86,129
162764,1627.64,106
162840,1628.4,90
162917,1629.17,108
162995,1629.95,112
163072,1630.72,122
163101,1631.01,51
163152,1631.52,91
163182,1631.82,50
163236,1632.36,145
163265,1632.65,52
163316,1633.16,139
163397,1633.97,153
163483,1634.83,115
163513,1635.13,58
163568,1635.68,101
163598,1635.98,63
163656,1636.56,98
163743,1637.43,104
163772,1637.72,50
163828,1638.28,112
163858,1638.58,60
163912,1639.12,130
163995,1639.95,146
164080,1640.8,147
164109,1641.09,51
164165,1641.65,86
164196,1641.96,53
164249,1642.49,101
164333,1643.33,147
164417,1644.17,140
164446,1644.46,51
164501,1645.01,96
164588,1645.88,142
164674,1646.74,128
164704,1647.04,50
164759,1647.59,112
164844,1648.44,150
164930,1649.3,116
164958,1649.58,52
165013,1650.13,87
165096,1650.96,108
165178,1651.78,85
165209,1652.09,52
165259,1652.59,90
165338,1653.38,142
165418,1654.18,84
165498,1654.98,100
165528,1655.28,52
165577,1655.77,114
165607,1656.07,60
165656,1656.56,166
165735,1657.35,124
165813,1658.13,115
165842,1658.42,53
165891,1658.91,106
165921,1659.21,62
165968,1659.68,125
166048,1660.48,146
166127,1661.27,149
166157,1661.57,58
166206,1662.06,131
166285,1662.85,91
166367,1663.67,156
166449,1664.49,142
166531,1665.31,132
166616,1666.16,90
166702,1667.02,96
166789,1667.89,126
166875,1668.75,109
166962,1669.62,84
167047,1670.47,86
167134,1671.34,101
167219,1672.19,98
167306,1673.06,103
167388,1673.88,143
167417,1674.17,51
167473,1674.73,156
167502,1675.02,49
167556,1675.56,71
167585,1675.85,57
167640,1676.4,138
167725,1677.25,75
167809,1678.09,76
167896,1678.96,96
167926,1679.26,50
167981,1679.81,125
168066,1680.66,106
168095,1680.95,53
168152,1681.52,143
168235,1682.35,116
168317,1683.17,96
168347,1683.47,56
168401,1684.01,74
168429,1684.29,55
168480,1684.8,121
168560,1685.6,132
168590,1685.9,58
168642,1686.42,97
168672,1686.72,51
168721,1687.21,119
168753,1687.53,54
168801,1688.01,125
168881,1688.81,101
168912,1689.12,52
168959,1689.59,102
169035,1690.35,115
169065,1690.65,69
169112,1691.12,162
169142,1691.42,53
169188,1691.88,154
169218,1692.18,53
169262,1692.62,130
169336,1693.36,148
169410,1694.1,134
169439,1694.39,54
169483,1694.83,78
169511,1695.11,53
169558,1695.58,125
169588,1695.88,53
169632,1696.32,107
169708,1697.08,138
169784,1697.84,128
169860,1698.6,132
169890,1698.9,52
169936,1699.36,141
170014,1700.14,82
170093,1700.93,135
170123,1701.23,49
170172,1701.72,118
170252,1702.52,93
170333,1703.33,137
170413,1704.13,96
170492,1704.92,137
170573,1705.73,131
